HOSTNAMES STATE GRES CPUS(A/I/O/T) MEMORY
ng20102 mix- gpu:a100:4(S:0-7) 34/14/0/48 510000
ng20103 mix- gpu:a100:4(S:0-7) 32/16/0/48 510000
ng20104 drain gpu:a100:4(S:0-7) 0/0/48/48 510000
ng20201 mix- gpu:a100:4(S:0-7) 22/26/0/48 510000
ng20202 mix- gpu:a100:4(S:0-7) 22/26/0/48 510000
ng20203 mix- gpu:a100:4(S:0-7) 24/24/0/48 510000
ng20204 mix- gpu:a100:4(S:0-7) 20/28/0/48 510000
ng20301 mix- gpu:a100:4(S:0-7) 21/27/0/48 510000
ng20302 mix- gpu:a100:4(S:0-7) 26/22/0/48 510000
ng20303 mix- gpu:a100:4(S:0-7) 22/26/0/48 510000
ng20304 mix- gpu:a100_3g.20gb:4(S:1,3,5,7),gpu:a100_2g.10gb:4(S:1,3,5,7),gpu:a100_1g.5gb:8(S:1,3,5,7) 47/1/0/48 510000
ng20401 drng gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 40/0/8/48 510000
ng20402 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 46/2/0/48 510000
ng20403 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 46/2/0/48 510000
ng20404 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 46/2/0/48 510000
ng20501 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 42/6/0/48 510000
ng20502 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 47/1/0/48 510000
ng20503 alloc gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 48/0/0/48 510000
ng20504 mix gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 46/2/0/48 510000
ng20601 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 36/12/0/48 510000
