phase,batch_size,dmrs_case,variant,passed,reason,returncode,elapsed_s,stdout,stderr
training,128,1dmrs,deep_d96_b6_r2,False,oom,1,67.65,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/training_rx16_bs128_1dmrs_deep_d96_b6_r2.out,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/training_rx16_bs128_1dmrs_deep_d96_b6_r2.err
evaluation,128,1dmrs,deep_d96_b6_r2,True,passed,0,179.932,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_1dmrs_deep_d96_b6_r2.out,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_1dmrs_deep_d96_b6_r2.err
evaluation,128,1dmrs,wide_d128_b4_r2,True,passed,0,188.991,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_1dmrs_wide_d128_b4_r2.out,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_1dmrs_wide_d128_b4_r2.err
evaluation,128,1dmrs,mlpwide_d96_b4_r4,True,passed,0,168.61,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_1dmrs_mlpwide_d96_b4_r4.out,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_1dmrs_mlpwide_d96_b4_r4.err
evaluation,128,2dmrs,deep_d96_b6_r2,True,passed,0,171.94,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_2dmrs_deep_d96_b6_r2.out,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_2dmrs_deep_d96_b6_r2.err
evaluation,128,2dmrs,wide_d128_b4_r2,True,passed,0,167.801,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_2dmrs_wide_d128_b4_r2.out,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_2dmrs_wide_d128_b4_r2.err
evaluation,128,2dmrs,mlpwide_d96_b4_r4,True,passed,0,167.224,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_2dmrs_mlpwide_d96_b4_r4.out,/lustre07/scratch/rsadve1/Universal_Receiver_NEW-main_Narval/TWC_plots_comprehensive/batch_probe_rx16/logs/evaluation_rx16_bs128_2dmrs_mlpwide_d96_b4_r4.err
