receiver,num_users,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler,dmrs_case,dmrs_label,variant,variant_label,seed,training_seed,evaluation_seed
baseline_ls_lmmse,2,0.0,0.2974966062721631,1.0,0.1570609186564717,343630,1155072,192,192,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,2,0.0,0.2978749376662234,1.0,0.092162504776082,344067,1155072,192,192,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,2,0.0,0.2975589400487589,1.0,0.1568716531071659,343702,1155072,192,192,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
upair5g_lmmse,2,0.0,0.296100156527039,1.0,0.0863111041659825,342017,1155072,192,192,1,True,True,1dmrs,1-DMRS,main_d96_b4_r2,"d=96, L=4, r=2",7,7,1007
