receiver,num_users,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler,dmrs_case,dmrs_label,variant,variant_label,seed,training_seed,evaluation_seed
baseline_ls_lmmse,3,-4.0,0.350150755393026,1.0,0.5013184623112754,606674,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-4.0,0.3500220476876478,1.0,0.1895811519925556,606451,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,-4.0,0.3502852347443853,1.0,0.5020383501809741,606907,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
upair5g_lmmse,3,-4.0,0.3467674165189125,1.0,0.2673914318992978,600812,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,-4.0,0.4427210309544917,0.3333333333333333,0.0,767062,1732608,96,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ls_lmmse,3,-2.0,0.3486264636894208,1.0,0.3336755081252138,604033,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-2.0,0.3500589862219267,1.0,0.1420906298749027,606515,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,-2.0,0.3487240045065012,1.0,0.3335588041300211,604202,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
upair5g_lmmse,3,-2.0,0.344902020537825,1.0,0.1662277015063754,597580,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,-2.0,0.4425092115469858,0.3333333333333333,0.0,766695,1732608,96,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ls_lmmse,3,0.0,0.3469809674202128,1.0,0.2304953859422843,601182,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,0.0,0.3491880448433806,1.0,0.1126111999323284,605006,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,0.0,0.3470744680851064,1.0,0.2310626631804776,601344,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
upair5g_lmmse,3,0.0,0.3431976534796099,1.0,0.1110247892939982,594627,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,0.0,0.4447578448212175,0.3333333333333333,0.0,770591,1732608,96,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ls_lmmse,3,2.0,0.3469844304078014,1.0,0.1648136372149248,601188,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,2.0,0.3483707797724586,1.0,0.0896706564663686,603590,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,2.0,0.3471344932033097,1.0,0.1656898103023825,601448,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
upair5g_lmmse,3,2.0,0.342439259197695,1.0,0.0740312633646851,593313,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,2.0,0.4467196272901891,0.3333333333333333,0.0,773990,1732608,96,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ls_lmmse,3,4.0,0.3469786587618203,1.0,0.1200620791969227,601178,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,4.0,0.3474155723625886,1.0,0.0693810358306912,601935,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,4.0,0.3469376800753546,1.0,0.1207701671748539,601107,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
upair5g_lmmse,3,4.0,0.342741693447104,1.0,0.0527580341982734,593837,1732608,288,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
perfect_csi_lmmse,3,4.0,0.4469470301418439,0.3333333333333333,0.0,774384,1732608,96,288,1,True,True,1dmrs,1-DMRS,wide_d128_b4_r2,"d=128, L=4, r=2",7,7,1007
