receiver,num_users,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler,dmrs_case,dmrs_label,variant,variant_label,seed,training_seed,evaluation_seed
baseline_ls_lmmse,3,-4.0,0.3504127881205673,1.0,0.5042963175428798,607128,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-4.0,0.3504116337913711,1.0,0.1911170536116596,607126,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,-4.0,0.3505951721335697,1.0,0.5050961928810066,607444,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
upair5g_lmmse,3,-4.0,0.3478721095596926,1.0,0.3357732407306573,602726,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
perfect_csi_lmmse,3,-4.0,0.4426581200132978,0.3333333333333333,0.0,766953,1732608,96,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ls_lmmse,3,-2.0,0.3482859365765366,1.0,0.339715432095551,603443,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,-2.0,0.3492065141105201,1.0,0.1478712417516264,605038,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,-2.0,0.3482259114583333,1.0,0.3397455409524656,603339,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
upair5g_lmmse,3,-2.0,0.3460626985446217,1.0,0.2116349357562672,599591,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
perfect_csi_lmmse,3,-2.0,0.4429161125886525,0.3333333333333333,0.0,767400,1732608,96,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ls_lmmse,3,0.0,0.3474634770242317,1.0,0.2287277582727003,602018,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,0.0,0.3494298768099881,1.0,0.1099149016780004,605425,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,0.0,0.3474080692228132,1.0,0.2293149415688323,601922,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
upair5g_lmmse,3,0.0,0.3454682190085697,1.0,0.1371101795916978,598561,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
perfect_csi_lmmse,3,0.0,0.444883089539007,0.3333333333333333,0.0,770808,1732608,96,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ls_lmmse,3,2.0,0.3472747442006501,1.0,0.1656168138226459,601691,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,2.0,0.3487857611184988,1.0,0.0899564170850597,604309,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,2.0,0.347327266179078,1.0,0.1659092701530677,601782,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
upair5g_lmmse,3,2.0,0.3449354960845153,1.0,0.0919471478251155,597638,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
perfect_csi_lmmse,3,2.0,0.446904897126182,0.3333333333333333,0.0,774311,1732608,96,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ls_lmmse,3,4.0,0.3472401143247636,1.0,0.1220671944027376,601631,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ls_2dlmmse_lmmse,3,4.0,0.347836902519208,1.0,0.071877315971376,602665,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
baseline_ddcpe_ls_lmmse,3,4.0,0.3472193363992317,1.0,0.1226518194121267,601595,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
upair5g_lmmse,3,4.0,0.3443906527039007,1.0,0.0635198051041068,596694,1732608,288,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
perfect_csi_lmmse,3,4.0,0.447303140698877,0.3333333333333333,0.0,775001,1732608,96,288,1,True,True,1dmrs,1-DMRS,shallow_d96_b2_r2,"d=96, L=2, r=2",7,7,1007
