receiver,num_users,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,4,0.0,0.3757335987496883,1.0,0.3092824432058441,18517306,49283072,8192,8192,32,True,True
baseline_ls_2dlmmse_lmmse,4,0.0,0.3784782328504197,1.0,0.1505584285572003,18652570,49283072,8192,8192,32,True,True
baseline_ddcpe_ls_lmmse,4,0.0,0.37579570932591216,1.0,0.31050835112170205,18520367,49283072,8192,8192,32,True,True
upair5g_lmmse,4,0.0,0.3738314243073159,1.0,0.3092824432058441,18423561,49283072,8192,8192,32,True,True
perfect_csi_lmmse,4,0.0,0.4644849249657164,0.25,0.0,22891244,49283072,2048,8192,32,True,True
